Index,Positive,Pos Freq,Negative,Neg Freq,Word,Word Freq
0,effective,14409.820795545,loss,18279.670550376002,the,1028262
1,benefit,5240.581245,losses,8403.955346367,to,1028254
2,able,894.042470113,termination,5120.54046285,of,1028254
3,gains,865.70532201,against,4346.011960537,for,1028108
4,gain,792.010152248,default,2647.546278975,and,1028042
5,greater,676.8896307389999,impairment,2359.119365225,by,1027965
6,good,628.05809292,closing,2327.520620973,as,1027876
7,beneficial,385.51723116,adverse,2169.2674343520002,form,1027832
8,best,376.69034461499996,adversely,1738.56908934,report,1027785
9,advances,357.682116396,failure,1192.148691124,in,1027784
10,improvements,334.81228502,disclosed,996.885004797,be,1027743
11,exclusive,196.860314889,litigation,986.391514251,or,1027733
12,successful,190.899117868,limitation,722.546020636,act,1027705
13,opportunities,184.1591456,restated,685.6661094359999,exchange,1027700
14,favorable,168.95199000000002,damages,481.67968214800004,its,1027616
15,achieve,128.0325012,terminated,475.39483651600005,has,1027594
16,profitability,127.9288781,unable,441.69805531099996,this,1027588
17,success,123.3531936,restructuring,435.679043928,on,1027540
18,successfully,116.744778,terminate,432.671544672,requirements,1027212
19,satisfy,113.5176717,breach,424.530644692,all,1027182
20,satisfactory,95.61973850000001,decline,414.36790687200005,commission,1027146
21,opportunity,93.04061250000001,bankruptcy,377.66742132200005,section,1027058
22,improve,80.0740596,claims,328.52551495200004,ended,1026978
23,satisfaction,72.34488219999999,force,320.71642596,during,1026943
24,improvement,69.3969507,limitations,294.603558513,securities,1026921
25,improved,64.0403595,unpaid,260.995465391,period,1026751
26,positive,57.4601044,discontinued,233.07690162400002,such,1026660
27,satisfied,55.954544500000004,liquidation,229.926922498,been,1026527
28,enable,51.788118999999995,fraud,211.08413562,that,1026523
29,strong,46.2078792,negative,190.83217617600002,other,1026301
30,achieved,44.1854676,critical,187.699254764,filed,1026269
31,leading,36.403668,impaired,184.0519104,was,1025855
32,progress,34.1445853,volatility,175.0532057,financial,1025847
33,better,31.2844509,deficiencies,163.9159704,no,1025814
34,assure,31.177156800000002,weaknesses,160.793712,number,1025673
35,enhance,29.2202435,penalties,155.3426268,required,1025592
36,beneficially,28.9001982,damage,146.47927049999998,months,1025513
37,advantage,27.7553045,misleading,145.835397,reports,1025334
38,collaboration,25.3165968,concern,137.4865389,registrant,1025092
39,highest,25.1717226,complaint,137.0352424,file,1024808
40,superior,23.3194624,delay,126.74381059999999,is,1023971
41,profitable,22.3020075,omitted,113.88538199999999,name,1023900
42,efficiency,19.2788106,violation,108.8806341,signed,1023424
43,achievement,19.045288900000003,fail,106.618986,subject,1022979
44,enhanced,18.8110653,difficult,100.23093,whether,1022766
45,adequately,14.5651671,omit,96.51097519999999,with,1022724
46,achieving,13.551090199999999,hazardous,79.06223,not,1021969
47,succeeding,10.672329900000001,investigation,77.3108478,behalf,1021697
48,strength,10.6061368,defaults,75.96995770000001,statements,1021320
49,despite,9.9903573,contrary,74.7752696,information,1021257
50,resolve,9.904536,defendants,72.57077799999999,caused,1021215
51,valuable,9.2043198,deficit,72.3565136,days,1020647
52,conclusive,8.9898624,plaintiffs,69.624607,authorized,1020605
53,enhancements,8.710308,closed,64.6511292,pursuant,1020368
54,efficient,8.4826824,delays,62.714963999999995,item,1020304
55,assured,7.925541,negatively,62.0680896,are,1019024
56,improving,7.6936797,alleged,61.428923399999995,part,1018971
57,attractive,7.6494976,inability,60.413616,from,1018657
58,stable,7.4079540999999995,dispute,58.2676992,filing,1018493
59,exclusively,7.253224800000001,cease,57.4219338,past,1017828
60,alliance,6.885408,absence,55.610165,state,1017010
61,efficiencies,6.768959000000001,disclose,46.7453,duly,1016627
62,inventions,6.760941000000001,harm,46.1947087,undersigned,1016568
63,desirable,6.6822650999999995,fails,42.5877525,which,1016495
64,collaborative,5.8474428,late,39.2166622,have,1015704
65,enables,5.100051000000001,doubtful,38.9438136,an,1015646
66,enhancement,5.091025500000001,threatened,38.5301174,executive,1015465
